Year;Country;Ranking;Price (30);Public place bans (22);Public info campaign spending (15);Advertising bans (13);Health warnings (10);Treatment (10);Total (100)
2003;Austria;25;11;7;4;;6;3;31
2005;Austria;26;14;4;0;4;6;3;31
2007;Austria;30;13;4;0;9;6;3;35
2010;Austria;30;13;7;0;7;1;4;32
2013;Austria;34;11;8;0;7;1;4;31
2016;Austria;35;11;8;0;7;5;5;36
2003;Belgium;19;13;6;0;10;7;2;38
2005;Belgium;12;16;8;2;12;7;5;50
2007;Belgium;8;16;13;3;12;9;5;58
2010;Belgium;10;17;13;2;8;4;6;50
2013;Belgium;13;14;13;2;8;4;6;47
2016;Belgium;16;14;15;1;8;5;6;49
2003;Bulgaria;;;;;;;;
2005;Bulgaria;16;19;6;0;9;6;6;46
2007;Bulgaria;13;22;8;0;12;6;6;54
2010;Bulgaria;24;21;6;0;10;1;2;40
2013;Bulgaria;15;18;15;0;10;1;2;46
2016;Bulgaria;19;16;11;0;11;5;4;47
2013;Croatia;26;14;12;0;11;1;2;40
2016;Croatia;25;16;11;0;12;1;4;44
2003;Cyprus;14;23;4;0;11;3;3;44
2005;Cyprus;11;21;9;1;12;6;5;51
2007;Cyprus;19;17;6;0;12;6;5;46
2010;Cyprus;24;14;11;0;10;1;4;40
2013;Cyprus;32;15;7;0;10;1;;33
2016;Cyprus;25;16;8;0;11;1;8;44
2003;Czech Republic;27;11;6;1;5;2;2;27
2005;Czech Republic;20;12;6;0;9;6;5;38
2007;Czech Republic;25;13;6;0;10;6;5;40
2010;Czech Republic;27;14;7;0;8;1;4;34
2013;Czech Republic;31;12;9;0;8;1;4;34
2016;Czech Republic;31;14;9;0;8;5;4;40
2003;Denmark;16;13;2;3;10;6;7;41
2005;Denmark;17;17;3;2;10;6;7;45
2007;Denmark;20;16;3;3;10;6;7;45
2010;Denmark;13;16;11;3;8;1;7;46
2013;Denmark;15;15;11;2;8;4;6;46
2016;Denmark;23;13;11;1;8;5;7;45
2003;Estonia;12;16;16;2;10;1;2;47
2005;Estonia;17;14;9;2;11;1;8;45
2007;Estonia;11;11;13;5;13;6;8;56
2010;Estonia;19;14;12;0;10;1;6;43
2013;Estonia;20;14;12;0;10;1;6;43
2016;Estonia;21;12;12;0;11;5;6;46
2003;Finland;9;13;16;2;13;7;2;53
2005;Finland;7;18;12;1;13;7;7;58
2007;Finland;8;17;12;2;13;7;7;58
2010;Finland;7;17;17;2;10;2;4;52
2013;Finland;9;15;17;3;12;2;6;55
2016;Finland;6;16;18;3;13;5;5;60
2003;France;7;20;6;4;12;6;6;54
2005;France;9;23;6;4;11;6;6;56
2007;France;7;21;12;3;11;6;6;59
2010;France;6;21;17;1;9;1;6;55
2013;France;5;20;17;1;9;4;6;57
2016;France;4;19;18;1;11;9;6;64
2003;Germany;21;15;2;0;4;6;8;35
2005;Germany;22;20;2;0;4;6;4;36
2007;Germany;27;19;2;0;5;6;5;37
2010;Germany;26;17;11;0;4;1;4;37
2013;Germany;33;14;11;0;4;1;2;32
2016;Germany;33;13;11;0;4;5;4;37
2003;Greece;18;15;7;0;5;6;7;40
2005;Greece;20;17;7;0;4;6;4;38
2007;Greece;28;15;7;0;4;6;4;36
2010;Greece;30;15;7;0;6;1;3;32
2013;Greece;29;15;7;0;6;1;6;35
2016;Greece;31;16;7;0;6;5;6;40
2003;Hungary;11;14;10;1;10;6;9;49
2005;Hungary;15;17;6;1;10;6;7;47
2007;Hungary;22;14;6;0;10;6;7;43
