Year;Country;Ranking;Price (30);Public place bans (22);Public info campaign spending (15);Advertising bans (13);Health warnings (10);Treatment (10);Total (100)
2007;;United Kingdom;1;30;21;15;11;6;10;93
2007;Iceland;2;22;17;14;13;6;2;74
2007;Ireland;2;23;21;3;12;6;9;74
2007;Norway;4;22;17;4;13;6;4;66
2007;Malta;5;22;17;3;12;7;1;62
2007;Sweden;6;19;15;1;13;6;7;61
2007;France;7;21;12;3;11;6;6;59
2007;Belgium;8;16;13;3;12;9;5;58
2007;Finland;8;17;12;2;13;7;7;58
2007;Italy;10;17;17;1;10;6;6;57
2007;Estonia;11;11;13;5;13;6;8;56
2007;Spain;12;12;15;5;12;6;5;55
2007;Bulgaria;13;22;8;0;12;6;6;54
2007;Netherlands;14;14;9;4;12;6;5;50
2007;Poland;14;14;12;0;12;6;6;50
2007;Romania;14;18;8;1;12;6;5;50
2007;Slovakia;17;17;8;0;11;6;6;48
2007;Switzerland;18;14;6;10;4;6;7;47
2007;Cyprus;19;17;6;;12;6;5;46
2007;Denmark;20;16;3;3;10;6;7;45
2007;Lithuania;21;10;14;;10;6;4;44
2007;Hungary;22;14;6;;10;6;7;43
2007;Portugal;23;20;5;4;10;6;1;42
2007;Latvia;24;9;12;0;9;6;1;41
2007;Czech Republic;25;13;6;0;10;6;5;40
2007;Slovenia;25;12;6;0;12;6;4;40
2007;Germany;27;19;2;0;5;6;5;37
2007;Greece;28;15;7;0;4;6;4;36
2007;Luxembourg;28;6;11;0;9;7;3;36
2007;Austria;30;13;4;0;9;6;3;35
