Year;Country;Ranking;Price (30);Public place bans (22);Public info campaign spending (10);Advertising bans (13);Health warnings (10);Treatment (10);Illicit trade (3);Art 5.3 FCTC (2);Total (100)
2019;Austria;20;11;20;0;7;5;5;2;0;50
2019;Belgium;10;16;16;1;8;9;6;2;0;58
2019;Bulgaria;27;15;11;;11;5;5;1;0;48
2019;Croatia;17;16;11;0;12;5;5;2;;51
2019;Cyprus;27;15;10;0;11;5;5;2;;48
2019;Czech Republic;23;12;15;0;8;5;7;2;0;49
2019;Denmark;29;13;11;2;8;5;7;1;0;47
2019;Estonia;23;13;14;1;11;5;3;2;0;49
2019;Finland;6;18;18;2;13;5;5;1;0;62
2019;France;2;22;18;4;11;9;7;2;1;74
2019;Germany;36;14;11;0;4;5;4;2;0;40
2019;Greece;13;18;20;;7;5;3;1;0;54
2019;Hungary;8;15;21;0;11;5;6;1;;59
2019;Iceland;4;23;17;9;13;4;4;0;0;70
2019;Ireland;3;18;22;1;13;9;8;1;1;73
2019;Israel;7;27;15;1;11;1;6;0;0;61
2019;Italy;15;15;16;0;9;5;6;1;0;52
2019;Latvia;23;14;12;2;10;5;4;2;0;49
2019;Lithuania;29;12;13;1;10;5;4;2;0;47
2019;Luxembourg;34;5;16;0;9;5;7;2;0;44
2019;Malta;17;16;12;0;11;5;5;2;;51
2019;Netherlands;14;14;15;1;9;5;7;1;1;53
2019;Norway;5;22;17;1;13;8;4;1;0;66
2019;Poland;23;14;11;0;11;5;7;1;0;49
2019;Portugal;20;18;11;;10;5;4;2;0;50
2019;Romania;12;16;21;0;8;5;6;1;0;57
2019;Russia;29;8;15;0;13;4;6;1;;47
2019;Republic of Serbia;33;19;11;0;9;1;4;1;0;45
2019;Slovakia;32;12;12;;9;5;6;2;0;46
2019;Slovenia;8;12;16;2;13;9;6;1;0;59
2019;Spain;10;15;21;1;9;5;5;2;0;58
2019;Sweden;15;14;15;0;9;5;7;2;0;52
2019;Switzerland;35;13;11;4;2;5;7;0;0;42
2019;Turkey;17;10;15;0;8;10;6;2;0;51
2019;United Kingdom;1;25;22;0;12;9;9;2;1;80
2019;Ukraine;20;17;15;;11;4;3;0;0;50
